to develop the good habit of washing their hands frequently	What should the elderly be encouraged to do in a nursing home?
Hand cream	What can be placed by the sink to make it easy to apply after washing hands?
clean and sanitary	What should the environment of a nursing home be?
bedding and clothes	What should the elderly frequently dry?
once or twice a week	How often should the elderly be disinfected in a nursing home?
isolation rooms	What should be prepared for the isolation and treatment of future elderly with suspected symptoms?
to avoid transmission to other elderly	Why should the elderly with symptoms be isolated in time?
single	How many rooms should an elderly person in a nursing home have?
independent air conditioning	What should an elderly person in a nursing home use as much as possible?
domestic garbage	What should be collected uniformly and treated as medical waste?
medical surgical mask	What should an elderly person wear on the way to medical treatment?
local community health agency or the CDC	Who should an elderly person in a nursing home contact for guidance and assistance with related investigations and dispositions?
registered immediately	What should a person who has had close contact with a person without effective protection do?
Suspension of visitation activities	What should an elderly person in a nursing home do?
"Reduce unnecessary gatherings, dinners and other group activities"	What should an elderly person in a nursing home do to prevent unnecessary gatherings?
14 days	How long should an elderly person be placed under medical observation if he or she is diagnosed with novel coronavirus pneumonia?
final disinfection of the residence	What should be performed immediately after an elderly person leaves the nursing home?
CDC agency	Who is responsible for the disinfection of a nursing home?
without disinfection	When is the residence not recommended for use?
live poultry	What is another term for livestock trading markets?
daily cleaning and disinfection	What should be done to keep the workplace clean and hygienic?
disinfection	What is a supplement to cleaning the market?
three	How many cleans should the market operators do each day?
disinfection	"What is it called to clean the countertop, slaughtering tools, cutting board utensils, cages, and stall ground?"
clean water	"What should be used to clean the utensils, countertop, cutting board, etc.?"
dredge sewers	"What should be done to clean the stall floor, walls, and environment around the store?"
500mg/L chlorine-containing disinfectant	What is the recommended amount of disinfectant for the surface of objects with more human contact?
75%	What percentage of alcohol can be used to disinfect objects that are not resistant to corrosion?
500-1000mg/L	What is the effective chlorine level of a market disinfectant?
garbage transporters and hand-push garbage collection vehicles	What should be stored and transported in an airtight manner to improve garbage collection?
to reduce the density of flies	Why should garbage be cleaned daily?
strengthen vector biological control	What should be done to prevent the spread of flies in the market?
regular inspections to remove all types of small containers of stagnant water	What should be done to reduce the breeding of mosquitoes and insects?
medical masks or medical surgical masks	What do the elderly need to wear when shopping at the market?
more than 1 meter	What is the safest distance to the market when interacting with others?
"Do not touch, buy and eat wild animals and try to avoid stalls selling live poultry, wild animals, etc."	What should elderly people avoid doing in the market?
middle-aged and elderly	Who are the most seriously ill patients in Sichuan?
"critical illness, multi-organ failure and even death"	What are elderly people prone to once infected with coronavirus pneumonia?
respiratory tract of the elderly	What is more sensitive and fragile?
75%	What percentage of alcohol should be used to disinfect the elderly?
84	How many disinfectants can be used to wipe down furniture and floors?
if the elderly are allergic to chlorine or suffer from respiratory irritation	"If the elderly are allergic to chlorine, what should they not use?"
"smoked white wine, vinegar, moxibustion and other ""prescriptions"" spread on the Internet"	What can not achieve the effect of disinfection?
artificially aggravating indoor air pollution	"What are smoked white wine, vinegar, moxibustion and other ""prescriptions"" equivalent to?"
respiratory disease	What is it likely to cause for the elderly with a sensitive respiratory tract?
room temperature	What should the elderly be allowed to stay in to avoid adverse effects on the body?
opening windows regularly	What should be done to improve indoor air quality?
increase the number of ventilation times and reduce the ventilation time	What is it recommended to do to keep the elderly warm?
hand washing	What should elderly people do to prevent viral infections?
dry	What kind of skin are elderly people prone to?
hand cream	What is placed by the sink so that elderly people can apply it after washing their hands?
Older adults	Who loves to walk around during the New Year holidays?
increases their risk of being exposed to the virus	Why do elderly people love to walk around during the New Year holidays?
do not gather for meals or multiple gatherings	What should elderly people do during an outbreak of coronavirus pneumonia?
visit and care for the elderly at home	What should the elderly do if special needs arise?
Sichuan Province	What province recently issued a notice requiring all mahjong parlors to suspend operations?
spend more time with the elderly at home	What is it recommended to do during the Spring Festival?
wear the right mask	What should elderly people do if they have to go out?
Ordinary cotton masks	What type of mask has no protective effect?
medical surgical masks	What should be used as a priority?
N95 or KN95	What are two types of protective masks that are not recommended for the elderly?
"chest tightness, shortness of breath and breathlessness"	What symptoms can occur after long-term wear of N95 or KN95 masks?
crowded public transportation	What should seniors avoid when traveling?
"walk, take a taxi or have a family member drive them"	What is the best way for seniors to avoid crowded public transportation when traveling?
avoid crowds	What is it recommended to do to avoid crowds?
don't take off your mask and keep a distance of more than 1 meter to say hello	What should you do when you see someone you know?
meat and eggs	What must be cooked before eating?
frugal	Are older adults frugal or may use masks repeatedly?
disposable medical masks	What should only be used once?
"Chapter 3, ""1"	"Where is ""(1) Wearing a mask"" found?"
Universal precautions	"What is the name of the section in Chapter 3, ""(1) Wearing a mask""?"
During the epidemic	When is it recommended that older adults should start with a balanced diet?
high-quality protein	What type of food should be incorporated into a balanced diet for the elderly?
fresh vegetables and seasonal fruits	What can be increased appropriately if there are no special dietary contraindications for the elderly?
wasting and malnutrition	What does the decrease in caloric and nutritional needs result in?
properly improve their nutritional reserves through proper nutritional supplementation	What must the elderly do?
"easier, convenient and safe nutritional supplementation"	Why should older adults take oral nutritional supplements?
three types of nutritional supplements	How many types of nutritional supplements are there?
marketing rumors	What are some elderly people easily misled by?
"garlic, mushrooms, strawberries, red wine, lactoferrin, etc."	What foods and supplements claim to prevent viruses?
anti-viral	"What are garlic, mushrooms, strawberries, red wine, lactoferrin, etc. not?"
strawberries	What fruit is a balanced nutritional fruit in season?
family members as well as the elderly are protected before going to the hospital	What is important if you have to go to the hospital?
Wear a mask and wash your hands promptly	What should you do if you have to go to the hospital?
"not to touch the outside of the mask, don't touch it, and wash your hands after taking off the mask"	What should you do while in the hospital?
droplets and contact	What are the main transmission routes of infection?
passive protection	What is the norm for infants under 1 year of age?
"disinfect your child's belongings, toys and utensils regularly"	What should you do to protect your child?
Wash your hands carefully before playing with your child	What should you do to protect your child?
change their clothes and wash their hands before holding their children after coming home from a trip	What should parents do?
regularly ventilated	How should the home be maintained?
"do not kiss the baby, and do not cough, sneeze, or exhale into the baby"	What do caregivers need to do?
cover your mouth and nose with a tissue	What should you do if you have to cough or sneeze?
"fever, runny nose, coughing and sneezing"	What are some respiratory illnesses that parents should wear at home?
keep a distance of more than 1 meter from other people in confined spaces and crowded places	What should children be instructed to do?
(1) Wearing Mask	Where can the method of wearing a mask and precautions be found?
General Precautions	"What is the section of (1) Wearing Mask in Chapter 3 ""1.?"
disposable medical masks	What should parents buy for children who don't like to wear masks?
adjust the position of the mask to make the child more comfortable and less resistant	What should a child do when wearing a mask?
ultraviolet light or alcohol	What can children use to spray their coats if there are conditions?
Wuhan	Where should a child have a history of travel or residence?
"fever, weakness of the limbs, dry cough, etc."	What are some symptoms of novel coronavirus pneumonia similar to the common cold?
"digestive, cardiovascular, neurological, ophthalmic symptoms, etc."	What are some of the symptoms of novel coronavirus pneumonia?
the disease progresses rapidly or the observation period has been missed	What happens when a child is diagnosed with a cold?
"diarrhea, breathing gradually becomes difficult"	What are the major differences between novel coronavirus infection and common cold?
immediate medical attention	What should a child seek if he or she has any of the following symptoms?
14 days	How long should a child be isolated and observed at home?
the fever clinic of the pediatric department of the nearest hospital	Where should a doctor see a child with a fever?
delayed vaccination	What should be determined on a case-by-case basis?
delay in vaccination	What will not affect the effectiveness of immunization?
"temporary ""interruption"""	"What will not cause the previous vaccines to be ""wasted""?"
rabies vaccine	What is an example of a vaccine that cannot be delayed even during an epidemic of new coronavirus infections?
pay close attention to the dynamics of childhood vaccination clinics	What is it recommended to do?
to avoid infection	Why should you be protected if you must go out?
primary care physician's assessment of the child's condition	What is important for children with chronic illnesses that require regular review?
"if the disease does not allow, changes or even deteriorates, the child should be seen promptly"	When should a child be seen at a fever clinic?
"not touching everywhere and not touching the mouth, nose and eyes with unclean hands"	What should the child and parents wear a mask throughout the visit?
send the results to the treating doctor online to guide the next treatment	What should parents do if they have tests performed nearby?
parents	Who is reminded to do their daily protection against common childhood diseases?
maternity checkups	"During the special period of epidemic outbreak, pregnant mothers can insist on normal what?"
temperature screening	What should pregnant mothers cooperate with the hospital for?
splitting up the time slots to avoid too many pregnant women waiting together	What is an example of a hospital's advice?
temperature screening	What should you always cooperate with the hospital when you go to the hospital?
splitting the consultation time to avoid too many pregnant women being grouped together	What should the hospital do to avoid too many pregnant women being grouped together?
pregnant women whose gestational weeks are in early and middle pregnancy can extend the interval between visits to the hospital appropriately on the advice of the doctor	Who can extend the interval between visits to the hospital without special problems?
a series of subsequent examinations or recommendations will be given	What happens if a pregnant woman has a fever?
fever and cough	What symptoms do pregnant mothers need to monitor their body temperature and keep records of?
obstetrician	Who should you consult before using medication?
home isolation	"If a pregnant mother develops symptoms such as low fever, sore throat and cough, what should be started immediately?"
high fever and dyspnea	What symptoms should be seen at a fever clinic when the disease worsens?
"personal protection, hand hygiene, ward management, environmental ventilation, cleaning and disinfection of object surfaces and medical waste management"	What precautionary principles should medical personnel follow to avoid hospital infections?
daily treatment activities	When should the following points be noted?
medical masks	What should medical and nursing staff wear when engaged in medical treatment activities?
pre-care triage office	"Where must medical staff wear overalls, work caps, and medical surgical masks?"
face consultation	What should patients and accompanying family members wear medical surgical masks during?
Do the effective ventilation of the consultation room	What should medical personnel do to prevent infection in the hospital?
"fever clinics, respiratory clinics, infectious disease departments and isolation wards"	"Where should medical and nursing staff wear work clothes, disposable isolation clothing, work caps and medical surgical masks?"
Protective masks and goggles or protective face screens	What should be worn when collecting respiratory samples?
breathing hoods	"What should be worn when performing tracheal intubation, bronchoscopy, airway care and suctioning?"
cross-infection	What is it forbidden to leave the contaminated area wearing personal protective equipment to avoid?
Strictly follow the process of putting on and taking off equipment	What should medical personnel do to avoid cross-infection in the contaminated area?
A	What is the process of putting on and taking off protective equipment for medical personnel?
to enter the isolation ward	What is the process of putting on and taking off protective equipment for medical personnel?
hand-brushing clothes and pants	"What can be replaced by medical staff after wearing protective masks, disposable hats, and disposable hats?"
wear gloves	What should be worn to enter the potentially contaminated area if the skin on the hands is broken or suspected of having damage?
two	"How many layers of hats, masks, protective glasses, gloves, and shoe covers should a patient wear?"
protective equipment procedures	What do medical personnel leave the isolation area to take off?
wash hands and hand disinfection	What should medical personnel do before entering the potentially contaminated area?
lining disposable cap or cloth cap	What should be removed before entering the potentially contaminated area?
immediately after each contact with the patient	When should medical personnel wash and disinfect their hands?
"blood, body fluids, secretions, etc"	What are disposable medical surgical masks contaminated with?
immediately	When should disposable medical surgical masks be replaced?
respiratory and mucous membrane protection	"Personal hygiene disposal should be carried out before work, and attention to what?"
psychological	What type of stress do patients who develop novel coronavirus pneumonia experience?
fear for the safety of family and friends with whom they have had contact	What are patients plunged into a deep sense of self-blame?
sudden life crisis	What is a deep sense of self-blame for each patient?
positive emotions	What type of emotions should patients promote?
help themselves	What can patients do to help themselves?
The seriousness of the situation	What should be evaluated correctly?
isolation	What does novel coronavirus pneumonia require hospitalization and?
dependent and young	What are patients who need hospitalization and isolation especially important for?
"Actively obtain information about the disease and treatment, and correctly evaluate your condition and estimate the prognosis"	What is the first step in treating novel coronavirus pneumonia?
blindly exaggerate	"What should patients not do to think that once they have the disease, they will surely die?"
novel coronavirus pneumonia	What disease has been cured so far?
take care of yourself	What do patients with novel coronavirus pneumonia learn to do?
express your inner needs and feelings	What should patients learn to do to help themselves?
do not keep them inside and do not worry about others laughing at your cowardice	What do patients need to do to vent their negative emotions?
get stable emotional support from each other	What can you do to help your patients?
Determine specific and limited life goals according to the actual situation	What should patients do to help themselves?
how to cooperate with the hospital to eliminate symptoms and restore health as soon as possible	What is the most important thing at present?
revise the life goals before the disease and rebuild realistic and feasible future life goals	What is it necessary to do by evaluating the disease and estimating the prognosis?
work and study plans or life arrangements may change due to the disease	What is important to be prepared for?
Home isolates	Who bears greater psychological stress?
can reduce the adverse emotions that trigger somatization symptoms	What are coping strategies for home isolates?
psychologically stable	What does understanding the disease help us to be?
isolation	What is it natural for people to have a hard time?
the infectious virus	"What do we need to understand that it is not us who are being avoided and distanced, but the contagious virus?"
contagious virus	What do we need to understand that it is not us who are avoided and distanced?
"sacrifice their interests, their freedom, and even their lives for the benefit of society and the public at large"	What do people with a deep sense of responsibility do?
a great possibility that we will be cured	What can happen if we are infected with the coronavirus?
communication	"What do people need to do with their relatives, friends, colleagues, organizations, etc.?"
emotional recovery	What should be done as soon as possible to prevent the spread of the coronavirus?
Goethe	"Who wrote ""The Trouble with Young Werther""?"
The Trouble with Young Werther	What is the name of the poem that Goethe wrote in the days of lost love?
the fight against the virus	What do we have to participate more actively in?
positive	What type of meaning is found in adversity?
solitude and separation	What can we enjoy a short period of?
psychological intervention or counseling hotline	What can you call when self-adjustment is difficult?
the most important and at the same time the most dangerous task in this battle	What do the duties of medical workers in this epidemic dictate?
heavy pressure	What is one of the most common reactions of medical personnel?
sad	What will medical workers feel when they hear their family members are in trouble?
physically and psychologically exhausted	What will medical workers be when they are busy with a lot of clinical work every day?
pessimistic and averse	What can medical workers become if information is not well communicated?
self-defeated	What will a patient feel when he is not able to save his life despite his best efforts?
they are the most vulnerable person	"When seeing other health care workers in the ward are busy treating patients, they will feel that others are stronger than they are and think what?"
become impatient	What do health care workers do with patients and colleagues?
aggrieved and unappreciated	What do patients feel when they encounter complaints from patients?
mutual cooperation and efficiency	Psychological reactions can largely affect what of health care workers?
psychological counseling and help	What should health care workers receive timely?
prevent trauma and stress disorders	What can a good psychological adjustment do?
Societies and hospitals	Who can help prevent trauma and stress disorders?
medical workers	Whose worries should be eliminated as much as possible?
plan ahead	What should health care workers do to avoid ad hoc arrangements?
self-isolation	What should health care workers provide rest and sleeping areas for without returning home?
pre-service training	What should a preventive interview for stress be conducted along with?
their state	What should health care professionals be aware of?
show weakness	What should you allow yourself to do?
tell the leader in charge in time and do things according to your ability	What should you do when you feel that you cannot bear the pressure?
cry	What should you do when you are sad and moved?
Doctors and nurses	"Who have emotions, anxiety, fear, anxiety and fear?"
"it is normal and natural for me to have these emotions, and I will recover when such a stressful event is over"	What should health care workers tell themselves in a stressful situation?
"Never self-depreciate, or even rise to self-worth and lose hope in life"	What should health care workers never do?
drink plenty of water and eat healthful foods	What should health care workers do to limit working hours?
muscle relaxation	What type of exercise should you perform in your spare time?
"deep breathing exercises, meditation, positive thinking, etc."	What exercises can be found on the internet?
Internet	Where can related instructional phrases and information be found?
switch jobs	What should health care workers do if stress symptoms have occurred?
a group interview	What should health care workers be asked to conduct in case of serious incidents?
2 weeks	"How long can depression, anxiety, panic attacks, etc. be relieved for?"
One-on-one	What type of psychological counseling can be carried out?
"voice, video, telephone and other various methods"	What can be used to prevent infection of psychological intervention personnel?
Newcastle	What city is facing the unknown risk of pneumonia?
negative emotions and difficulties in getting rid of them	What are people experiencing significant disruptions in their normal lives due to?
self-regulate at home	What can the following methods improve the general public's ability to do?
"regularly rather than ""at all times"""	How should the public respond to the Newcastle pneumonia epidemic?
Information management	What is a change in the traditional way of handling information about the disease?
formal channels	Where does the public learn about the outbreak and related protective knowledge?
Frequent reports	"What is intended to draw attention to the disease, but there is no need to panic about it?"
spend a few minutes every half day to pay attention to the epidemic information	What can you do to set an information alarm clock?
"stronger ""psychological immunity"""	A rich and regular life will give us what?
Maintain social ties and give support to each other	What can improve the general public's ability to self-regulate at home?
Close family ties and social support	"What is an important source of ""security"" for people who feel isolated and helpless in the face of the risks of an epidemic?"
Close family ties and social support	"What are important sources of ""safety"" for people who feel isolated and helpless in the face of the risks of an epidemic?"
communicate with friends	What is it advisable to do to encourage each other?
"phone, Internet, and cell phone text messaging"	What can be used to prevent the spread of novel pneumonia?
give more encouragement and life care	What should vulnerable people do?
Monitor psychological power and help yourself before helping others	What is a good way to prevent the spread of Newcastle pneumonia?
frustrated or inadequate	What do we sometimes feel in the face of difficult situations in areas with severe epidemics?
one minute	How long does it take for people to assess their emotional state every half day?
adjust the pace and intensity of your assistance	"What can you do if you are already depleted, helpless and frustrated?"
"depletion of your ""psychological power"""	What should you avoid seeking help or medical attention if you feel emotional and physical abnormalities and discomfort?
positive	What is it important to look at life in daily life?
a good diet	What should you pay attention to in your daily life?
alcohol and tobacco	What do people not try to relieve tension through?
blindly optimistic	What should you not be when the spread of the disease is effectively contained?
children must have a lot of curiosity and wonder why the planned winter vacation trip is cancelled?	Why do children have to wear a mask when they go out?
the start of school	What is delayed because of the new coronavirus pneumonia?
"adjust their self-state, maintain emotional stability and regular and orderly life"	What should parents do when facing children?
their parents' emotions and behaviors	What do children observe and experience the world through?
"study, indoor exercise, housework, parent-child games, etc."	What can parents consciously arrange to help their children adjust their life routine?
to bring confidence and security to their children	Why should parents increase emotional communication between relatives?
express their feelings	What can parents help their children do through drawing and doodling?
"learn to face them with the right attitude, increase awareness and develop good habits, and become more understanding of mom and dad's decisions"	What can parents do to help their children understand the concepts of viruses and illnesses?
spend more time with their children	What do parents need to do during the special times when the epidemic is raging?
"ensure nutritional balance, adhere to exercise, to achieve scientific nutrition"	What should parents pay attention to?
250 to 400g	What is the daily intake of cereals and potatoes?
300g	"What is the daily intake of egg, milk and milk products?"
Do not eat wild animals	What should you do to prevent the spread of new coronavirus pneumonia?
5	How many kinds of vegetables per day should you eat?
Half	How many fruits and vegetables are dark-colored?
200 to 350g	What is the recommended daily intake of fruits and vegetables?
"B vitamins, vitamin C, vitamin E, etc."	"What is a strong antioxidant, immune regulating effect of nuts and other plant crops?"
1500 to 2000ml per day	How much water should you drink per day?
"Before and after meals, vegetable soup, fish soup, chicken soup, etc."	What is a good choice during the epidemic of novel coronavirus pneumonia?
a good choice	What is a good choice before and after meals?
20	"Do not be partial to food, meat and vegetarian mix?"
rich sources of edible fats and oils	What is a good source of essential fatty acids?
n-9	What type of monounsaturated fatty acids are in vegetable oils?
25% to 30%	What is the total fat energy supply ratio?
Do not diet and do not lose weight	What should you do during the novel coronavirus pneumonia epidemic?
7 hours	How many hours of sleep per day is recommended during the novel coronavirus pneumonia epidemic?
one hour	How long is the cumulative time of physical exercise per day?
supplement health food products	What is it recommended to do during the epidemic of novel coronavirus pneumonia?
500	How many extra calories per day is recommended for patients with inadequate diet?
balanced nutrition	What can you do to improve your resistance?
Chinese Nutrition Society	"Who issued the ""Dietary Guidelines for Chinese Residents""?"
special circumstances	Under what circumstances are the following entries applicable to the general population?
300g	"What is the daily intake of egg, milk and milk products?"
Do not eat wild animals	What should you do to ensure your resistance?
5	How many kinds of vegetables per day should you eat?
Half	How many fruits and vegetables are dark-colored?
200 to 350g	What is the recommended daily intake of fruits and vegetables?
"B vitamins, vitamin C, vitamin E, etc."	What are some of the plant crops rich in that have a strong antioxidant and immune regulating effect?
1500 to 2000ml per day	How much water should you drink per day?
"Before and after meals, vegetable soup, fish soup, chicken soup, etc."	What is a good choice for patients with inadequate diet?
a good choice	What is a good choice before and after meals?
25% to 30%	What is the total fat energy supply ratio of the total dietary energy?
1500 to 2000ml per day	How much water should you drink per day?
"Before and after meals, vegetable soup, fish soup, chicken soup, etc."	What is a good choice for people with chronic wasting underlying diseases?
good choices	"What are vegetable soup, fish soup, chicken soup, etc.?"
family meals	"What is the implementation of meal sharing system or the use of common spoons, chopsticks and other measures to avoid mutual infection with family members?"
spicy and stimulating foods	What foods should you avoid?
"B vitamins, vitamin C and vitamin E"	"What vitamins are in fresh vegetables, fruits and nuts?"
Nutrient supplements	What can be added in appropriate amounts?
"flavonoids, betaine and other antioxidant substances"	"What do soybeans, mushrooms, goji berries, astragalus and other foods contain?"
Those with poor appetite who do not eat enough	Who should pay attention to the supplementation of B vitamins and vitamin C?
10	How many outdoor activities are there?
60-140 nm	What is the diameter of a novel coronavirus?
five	How many essential genes does the novel coronavirus have?
ACE-2	What is the acronym for angiotensin-converting enzyme 2?
4-6 days	How long did it take to isolate the novel coronavirus in human respiratory epithelial cells?
mutations	What is the novel coronavirus genome subject to?
widespread concern	What has the mutations in the novel coronavirus genome led to?
"Alpha, Beta, Gamma, Delta and Omicron"	"What are the five ""variants of concern""?"
Delta	The Omicron strain has replaced which strain as the predominant prevalent strain?
more transmissible	What is the Omicron strain more likely to be than the Delta strain?
neutralizing effect	The diagnostic accuracy of PCR tests routinely used in China may have reduced what effect of some monoclonal antibody drugs?
UV light and heat	What is Coronavirus sensitive to?
56°C for 30 minutes	What is an example of a liquid solvent that is effective in inactivating the coronavirus?
epidemiological characteristics	What is the main source of infection of novel coronavirus pneumonia?
5 days	How long after the onset of the disease is the novel coronavirus more contagious?
transmission channels	What is the main source of infection of novel coronavirus pneumonia?
Transmission by respiratory droplets and close contact	What is the main route of transmission?
aerosols	What spreads the virus in a relatively closed environment?
contact with objects contaminated with the virus	Infection can be caused by what?
susceptible	What type of population is generally susceptible to infection?
susceptible	What is the general definition of a susceptible population?
after infection or after vaccination with the new coronavirus	How can some immunity be obtained?
pathological changes	What are the major organ pathologic changes and novel coronavirus test results in early cases of the novel coronavirus pneumonia outbreak?
Lungs	What organ is prone to focal hemorhage?
monocytes and lymphocytes	What are the predominant inflammatory cells in the early and milder lesions of the novel coronavirus pneumonia outbreak?
large numbers of monocytes/macrophages and fibrin	What fills the alveolar lumen as the lesion progresses and worsens?
"Pulmonary vasculitis, thrombosis"	"What is a term for mixed thrombus, hyaline thrombus, and thromboembolism?"
partially detached	What is the epithelium of the bronchial mucosa at all levels of the lung?
mucus plug formation	Small bronchioles and fine bronchioles are prone to what?
focal hemorrhage	What is the lung tissue prone to?
hyperinflated	What are some alveoli called?
sarcoidosis	What is the name of the disease of alveolar lumen exudates and interstitial fibrosis of the lung?
Coronavirus particles	What was seen in the cytoplasm of the bronchial mucosa epithelium and type II alveolar epitheli
immunostaining	What was positive for novel coronavirus antigens and nucleic acid detection?
"Spleen, hilar lymph nodes and bone marrow"	What organs showed positive immunostaining for novel coronavirus antigens and nucleic acid detection?
The spleen	What organ is reduced in size?
red marrow	What is congested and focally hemorrhagic in the spleen Phenomenon?
lymphocytes	What was reduced in the lymph nodes and necrosis was seen?
CD4+ T and CD8+ T	Immunohistochemical staining shows a decrease in what cells in the spleen and lymph nodes?
novel coronavirus nucleic acid	Lymph node tissue may be positive for what?
hyperplastic	Bone marrow hematopoietic cells are either what or reduced in number?
Heart and blood vessels	What organs were seen to be reduced in size?
"monocytes, lymphocytes and/or neutrophil infiltration"	"What are some of the myocardial cells that may show degeneration and necrosis, interstitial congestion and edema?"
Novel coronavirus nucleic acid tests	What tests are occasionally positive for?
"Endothelial cell detachment, endothelial or whole-layer inflammation"	What is seen in small vessels in major parts of the body?
microvessels	What part of the body is prone to hyaline thrombosis?
Liver and gallbladder	What organs were positive for novel coronavirus nucleic acid?
neutrophil infiltration	What causes focal necrosis in the liver and gallbladder?
gallbladder	The epithelium of the gallbladder mucosa was detached and what was filled?
novel coronavirus nucleic acid	The liver and gallbladder were positive for what?
Kidney	What organ is congested and has a segmental fibrinoid necrosis?
Glomerular capillaries	What is congested in the kidney?
tubular pattern	What is the distal tubule prone to?
renal interstitium	Microthrombosis was seen in what part of the body?
Renal tissue	What is occasionally positive for novel coronavirus nucleic acid?
Other organs	"Brain tissue is congested and edematous, with some neuronal degeneration, ischemic changes and loss, and phag"
Brain tissue	What organ is congested and edematous?
Perivascular interstitial mononuclear cell and lymphocyte infiltration	What may be seen in the brain?
adrenal glands	Focal necrosis is seen where?
monocytes and lymphocytes	What is infiltration in the lamina propria and submucosa?
adrenal glands	"Where was cortical cell degeneration, focal hemorrhage and necrosis seen?"
Sertoli and Leydig	The testes showed reduced spermatogenic cell numbers and degeneration of what cells?
nasopharynx and gastrointestinal mucosa	Where have novel coronaviruses been detected?
IV	What is the name of the type of coronavirus detected in the nasopharynx and gastrointestinal mucosa?
Clinical characteristics	What are the main symptoms of MIS-C?
1 to 14 days	How long is the incubation period?
"Fever, dry cough and weakness"	What are the main symptoms of MIS-C?
a week	How long after the onset of the disease do severely ill patients tend to develop respiratory distress and/or hypoxemia?
central nervous system involvement and ischemic necrosis of the extremities	What may very few patients have?
moderate to low fever	Heavy and critically ill patients may have what type of fever during the course of the disease?
mild forms	"What type of disease may present with low-grade fever, mild malaise, smell and taste disturbances, and no pneumonia?"
Novel coronavirus infection	What may also be asymptomatic?
Vaccinated	What type of patients are mainly asymptomatic and have mild symptoms?
upper respiratory tract infection	What do patients with clinical symptoms mainly show symptoms of?
elderly	Who are most critically ill?
poor response and shortness of breath	What are some atypical symptoms of coronavirus?
Kawasaki disease	What is MIS-C similar to?
fever	What is the main manifestation of MIS-C?
deteriorate	What can happen to MIS-C when it occurs?
Laboratory tests	What type of tests can be used to determine if a patient has MIS-C?
General inspection	What is one of the most common tests for MIS-C?
C-reactive protein (CRP) and sedimentation	What do most patients have elevated?
"elevated D-dimer, progressive decrease in peripheral blood lymphocytes, and elevated inflammatory factors"	What are seen in severe and critically ill patients?
Pathogenic and serological examination	What are two types of examinations?
Nucleic acid amplification assay	"What is used to detect novel coronavirus nucleic acid in nasal, oropharyngeal swabs, sput"
standardized	What should be done to improve the accuracy of testing?
positive IgM and IgG antibodies specific for the novel coronavirus	What is a serological examination?
False positive antibody tests	What may occur due to the positive judgment value of the reagents themselves?
specimen reasons	"What are hemolysis of the specimen, bacterial contamination of the specimen, prolonged storage of the specimen, and incomplete coagulation of the specimen"
serological tests alone	What is not used as a basis for diagnosis?
Chest imaging	What is used to determine if a patient has multiple small patchy shadows and interstitial changes in the outer lung zone?
in the outer lung zone	Where are patchy shadows and interstitial changes obvious?
enlarged heart shadow and pulmonary edema	What are seen in patients with cardiac insufficiency in MIS-C?
Diagnostic principles	What is the primary criterion for confirmation of the diagnosis of MIS-C?
"comprehensive analysis of epidemiological history, clinical manifestations, laboratory tests, etc."	What makes the diagnosis?
Making the diagnosis	What is the primary criterion for confirmation of the diagnosis?
positive nucleic acid test	What is the primary criterion for confirmation of the diagnosis?
novel coronavirus-specific antibody test	What can be used as a reference for diagnosis for those who have not received the novel coronavirus vaccine?
antibodies	What is not used as a basis for diagnosis for those who have been previously infected with the novel coronavirus vaccine?
Diagnostic criteria	What is the primary criterion for diagnosis for those who have not received the novel coronavirus vaccine?
1	How many suspected cases are there?
Suspected cases	What is the term for suspected cases of novel coronavirus pneumonia?
Any 1 of the following epidemiologic histories and any 2 of the clinical manifestations are present	What are the Suspected cases?
3	How many clinical manifestations are met if there is no clear epidemiological history?
14 days prior to the onset of illness	How long prior to the onset of the disease was the case reported?
14 days	How long prior to the onset of the disease did a person have contact with a person with a novel coronavirus infection?
14 days prior to onset	How long prior to the onset of the disease was a case of fever or respiratory symptoms reported?
2	How many cases of fever and/or respiratory symptoms are present in a small area within 14 days?
14 days	How long does it take for fever and/or respiratory symptoms to onset in a small area?
the lymphocyte count	What was normal or decreased in the early stage of the disease?
2	How many confirmed cases were there?
Confirmed cases	What is the term for suspected cases with one of the following pathogenic or serological evidence?
pathogenic or serological	What type of evidence was present in confirmed cases?
novel coronavirus vaccine	What did the IgM and IgG antibodies not test positive for?
VI	What was the clinical typing of the disease?
Lightweight	What was the clinical typing?
mild	Clinical symptoms were what?
General type	What type of pneumonia is seen on imaging?
imaging	On what is pneumonia seen?
Heavy duty	What type of test was used to determine if a patient had pneumonia?
Adults	Which age group meets any of the following criteria?
30	How many beats/min is shortness of breath?
93%	What is the resting state of finger oxygen saturation when inhaling air?
300mmHg	What is the arterial partial pressure of oxygen/inhaled oxygen concentration?
1000 m	At what altitude should PaO2/FiO2 be corrected?
>50%	What percentage of the lesion can be seen on lung imaging within 24 hours?
The child	Who meets a persistent high fever for more than 3 days?
persistent high fever	What does a child have for more than 3 days?
2-12 months of age	How old is a child when he or she has shortness of breath?
assisted breathing	"What does Nasal flapping, trigeminal sign mean?"
drowsiness and convulsions	What are two signs of a critical type condition?
dehydration	Refusal of food or feeding difficulties with signs of what?
Critical type	What is the term for those who meet one of the following conditions?
one of the following conditions	What condition is critical type?
respiratory failure	What type of condition is critical type?
shock	What condition is a critical type condition?
ICU monitoring treatment	What does the combination of other organ failure require?
60 years old	What is the age limit for heavy/critical high-risk groups?
hypertension	What is an example of a cardiovascular disease?
